sha256	path	family	role
3b41d93adb6b040e13f1fb3f4eafba0907c3b8167490483e4c0356a6a14032ab	src/classes/buildInfo.ts	package-metadata-options	artifact-state
45a1580c3ef7972863b5b7c559421aace0b53c212d87e7ce27731c64e51cd8dd	src/classes/diagnostics.ts	invalid-diagnostics	diagnostic-collector
5dd2ac730a003a8bf03f2d4cf05fde90dabf06c3f7942dae7a19a2fdbf0e5297	src/classes/logger.ts	invalid-diagnostics	logging-support
64017cc1f4951ddc95315ddf01e09bdfe9e2d989daf16855b7668b3c11fd4104	src/classes/nodeMetadata.ts	class-decorator-di	metadata-parser
82df5e6f0f5ed0957fa45070e1fe4fc677f49b4225480216ba5b8138f535c564	src/classes/pathTranslator/constants.ts	package-metadata-options	version-and-path-constants
22e3c81e833dea8e28b98caee67367469b283bb4632656eced48a885a552c214	src/classes/pathTranslator/index.ts	macro-paths	rojo-path-translation
cc9033bfe1de6e4d9a6cac4b6c64082f7a924584e490663512ff48e166683daa	src/classes/transformState.ts	package-metadata-options	transform-state-and-options
b1078de0b40a16f10b97db62427d01272b665aa39bcab17b7f0c1c4008511947	src/index.ts	entrypoint	module-hook
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	src/information/expressions/.gitkeep	nonbehavior	empty-directory-sentinel
83793c7a1aed76b6054d765bff5ec99fc7aff1cd71c412a9abd3517561623c18	src/information/statements/viewClassDeclaration.ts	class-decorator-di	class-discovery
7946dbd1f30fe1264e00603de7d39a37d818e26b30e62d221be4bdea794635a2	src/information/viewExpression.ts	dispatch	expression-discovery
48445cbb07ccef868c5af3832caf3920b6322e42a6c652ee2f1dc9f85339f1ae	src/information/viewFile.ts	dispatch	file-discovery
923917957b2ca0f52dd1cf347eb56519cc4318c3c51d696ab685270cfd60335d	src/information/viewNode.ts	dispatch	node-discovery
127d77c964d3c804071391945d1a26090438d186bf99b7e38d59c435be2f460d	src/information/viewStatement.ts	dispatch	statement-discovery
a0ce4b1b904270021ec41b1cc5bf9b17691ff4141eec727449177497bced3288	src/transformations/expressions/transformAccessExpression.ts	networking	obfuscated-member-access
34bf205f726bf82c49c653092fcf71debbe49b349ee82979791b7bfd2b16b3a8	src/transformations/expressions/transformBinaryExpression.ts	class-decorator-di	interface-comparison
