path	line	route
src/classes/buildInfo.ts	170	native-regression-and-pinned-source
src/classes/buildInfo.ts	178	native-regression-and-pinned-source
src/classes/buildInfo.ts	46	native-regression-and-pinned-source
src/classes/buildInfo.ts	53	native-regression-and-pinned-source
src/classes/diagnostics.ts	40	native-regression-and-pinned-source
src/classes/diagnostics.ts	44	native-regression-and-pinned-source
src/classes/logger.ts	110	native-regression-and-pinned-source
src/classes/transformState.ts	122	native-regression-and-pinned-source
src/classes/transformState.ts	136	native-regression-and-pinned-source
src/classes/transformState.ts	138	native-regression-and-pinned-source
src/classes/transformState.ts	142	native-regression-and-pinned-source
src/classes/transformState.ts	222	native-regression-and-pinned-source
src/classes/transformState.ts	301	native-regression-and-pinned-source
src/classes/transformState.ts	471	native-regression-and-pinned-source
src/classes/transformState.ts	585	native-regression-and-pinned-source
src/classes/transformState.ts	601	native-regression-and-pinned-source
src/transformations/expressions/transformAccessExpression.ts	26	native-regression-and-pinned-source
src/transformations/expressions/transformBinaryExpression.ts	32	native-regression-and-pinned-source
src/transformations/expressions/transformBinaryExpression.ts	35	native-regression-and-pinned-source
src/transformations/expressions/transformDeleteExpression.ts	11	native-regression-and-pinned-source
src/transformations/expressions/transformDeleteExpression.ts	14	native-regression-and-pinned-source
src/transformations/expressions/transformUnaryExpression.ts	21	native-regression-and-pinned-source
src/transformations/expressions/transformUnaryExpression.ts	24	native-regression-and-pinned-source
src/transformations/macros/intrinsics/guards.ts	24	native-regression-and-pinned-source
src/transformations/macros/intrinsics/networking.ts	102	native-regression-and-pinned-source
src/transformations/macros/intrinsics/networking.ts	58	native-regression-and-pinned-source
src/transformations/macros/intrinsics/parameters.ts	30	native-regression-and-pinned-source
src/transformations/macros/intrinsics/parameters.ts	38	native-regression-and-pinned-source
src/transformations/macros/intrinsics/parameters.ts	46	native-regression-and-pinned-source
src/transformations/macros/intrinsics/parameters.ts	52	native-regression-and-pinned-source
src/transformations/macros/intrinsics/parameters.ts	60	native-regression-and-pinned-source
src/transformations/macros/intrinsics/paths.ts	14	task7-live-invalid-or-valid-path
src/transformations/macros/intrinsics/paths.ts	35	task7-live-invalid-or-valid-path
src/transformations/macros/intrinsics/paths.ts	44	task7-live-invalid-or-valid-path
src/transformations/statements/transformClassDeclaration.ts	278	native-regression-and-pinned-source
src/transformations/statements/transformClassDeclaration.ts	324	native-regression-and-pinned-source
src/transformations/statements/transformClassDeclaration.ts	333	native-regression-and-pinned-source
src/transformations/transformNode.ts	16	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	221	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	230	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	239	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	244	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	255	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	260	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	271	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	284	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	290	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	379	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	392	native-regression-and-pinned-source
src/transformations/transformUserMacro.ts	90	native-regression-and-pinned-source
src/transformer.ts	29	native-regression-and-pinned-source
src/util/diagnosticsUtils.ts	44	native-regression-and-pinned-source
src/util/diagnosticsUtils.ts	53	native-regression-and-pinned-source
src/util/diagnosticsUtils.ts	64	native-regression-and-pinned-source
src/util/functions/assert.ts	10	native-regression-and-pinned-source
src/util/functions/buildGuardFromType.ts	171	native-regression-and-pinned-source
src/util/functions/buildGuardFromType.ts	181	native-regression-and-pinned-source
src/util/functions/buildGuardFromType.ts	188	native-regression-and-pinned-source
src/util/functions/emitTypescriptMismatch.ts	17	native-regression-and-pinned-source
src/util/functions/getInstanceTypeFromType.ts	36	native-regression-and-pinned-source
src/util/functions/getPackageJson.ts	33	native-regression-and-pinned-source
src/util/functions/parseCommandLine.ts	15	native-regression-and-pinned-source
src/util/uid.ts	116	native-regression-and-pinned-source
src/util/uid.ts	98	native-regression-and-pinned-source
